epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2388,1.34674,2.9347,1.51137,0.00745,0.93437,0.37734,0.25128,0.87271,2.80275,1.23714,0.0001667,0.0001667,0.0001667
2,63.2636,1.10202,2.61866,1.34177,0.00723,0.90208,0.39609,0.24614,0.92897,2.7702,1.31962,0.000343139,0.000343139,0.000343139
3,92.1166,1.07431,2.31568,1.33749,0.00707,0.88646,0.42473,0.25925,1.0609,2.56614,1.49334,0.000512316,0.000512316,0.000512316
4,120.99,1.18605,2.0967,1.41803,0.46444,0.26019,0.40358,0.19473,1.43336,2.46763,1.939,0.000674231,0.000674231,0.000674231
5,149.702,1.2096,2.00114,1.47063,0.63535,0.1625,0.36916,0.18954,1.59763,2.51552,1.9708,0.000828886,0.000828886,0.000828886
6,178.37,1.15322,1.88533,1.41446,0.47106,0.39097,0.46488,0.29007,1.46081,2.14791,1.89141,0.000976279,0.000976279,0.000976279
7,207.044,1.16521,1.73509,1.39547,0.5275,0.45395,0.44718,0.24124,1.65988,2.11548,2.10054,0.00111641,0.00111641,0.00111641
8,235.895,1.19165,1.65983,1.38827,0.35398,0.34896,0.34989,0.18119,1.72251,2.27621,2.13699,0.00124928,0.00124928,0.00124928
9,264.468,1.15516,1.66912,1.34738,0.34871,0.39375,0.33864,0.11806,2.03296,2.53065,2.49552,0.00137489,0.00137489,0.00137489
10,293.053,1.13791,1.54426,1.36057,0.3635,0.51462,0.38221,0.21872,1.50143,2.39309,1.98395,0.00136994,0.00136994,0.00136994
11,321.682,1.19572,1.59711,1.40315,0.32317,0.48438,0.38494,0.19011,1.7069,2.16039,2.0518,0.00133693,0.00133693,0.00133693
12,350.306,1.16317,1.58317,1.38635,0.46496,0.54792,0.51603,0.27108,1.63666,1.93441,2.06241,0.00130393,0.00130393,0.00130393
13,378.896,1.15023,1.54206,1.34714,0.456,0.51562,0.45634,0.26947,1.59228,1.84397,2.00061,0.00127092,0.00127092,0.00127092
14,407.511,1.18127,1.55875,1.37886,0.61319,0.53728,0.47336,0.24094,1.53329,2.10777,1.87469,0.00123791,0.00123791,0.00123791
15,436.083,1.15825,1.55144,1.36862,0.39275,0.54688,0.44163,0.26087,1.52827,1.93015,1.86151,0.00120491,0.00120491,0.00120491
16,464.595,1.08255,1.50232,1.33414,0.36272,0.55,0.41178,0.25448,1.39266,1.89559,1.7121,0.0011719,0.0011719,0.0011719
17,493.122,1.09718,1.42567,1.33336,0.44757,0.68933,0.56997,0.33128,1.40764,1.77007,1.76194,0.00113889,0.00113889,0.00113889
18,521.849,1.11998,1.43359,1.37085,0.51735,0.66389,0.6148,0.38366,1.47289,1.79172,1.85731,0.00110589,0.00110589,0.00110589
19,549.099,1.10251,1.43439,1.33233,0.62565,0.58542,0.59662,0.35745,1.56149,2.04031,2.03164,0.00107288,0.00107288,0.00107288
20,557.761,1.12278,1.45577,1.35743,0.76764,0.54896,0.61995,0.33893,1.52009,1.7234,1.94946,0.00103987,0.00103987,0.00103987
21,566.392,1.08161,1.3739,1.31831,0.76642,0.52263,0.63251,0.39757,1.42162,1.65608,1.84689,0.00100687,0.00100687,0.00100687
22,575.094,1.0599,1.34786,1.31973,0.77703,0.5301,0.62643,0.36007,1.46431,1.74252,1.87993,0.000973861,0.000973861,0.000973861
23,583.792,1.01445,1.24915,1.2655,0.7335,0.61354,0.66927,0.39622,1.55596,1.62739,2.01118,0.000940855,0.000940855,0.000940855
24,592.643,1.02321,1.26155,1.27739,0.62103,0.62708,0.61002,0.33243,1.63745,1.73344,2.0675,0.000907848,0.000907848,0.000907848
25,601.29,1.01749,1.24777,1.26311,0.63239,0.59701,0.60249,0.34379,1.49624,1.69864,1.83931,0.000874842,0.000874842,0.000874842
26,609.951,0.95792,1.1983,1.22032,0.60837,0.55368,0.60772,0.3892,1.30089,1.53911,1.62608,0.000841835,0.000841835,0.000841835
27,618.652,0.97242,1.19777,1.25718,0.62885,0.53125,0.59648,0.35347,1.47135,1.53332,1.75474,0.000808828,0.000808828,0.000808828
28,627.321,1.00688,1.19341,1.2753,0.6958,0.54748,0.60195,0.34423,1.52568,1.59135,1.80637,0.000775822,0.000775822,0.000775822
29,636.049,1.005,1.15887,1.24263,0.68796,0.55773,0.59827,0.3536,1.33523,1.5413,1.61876,0.000742815,0.000742815,0.000742815
30,644.735,0.97277,1.15194,1.2546,0.7264,0.51458,0.62386,0.40547,1.29896,1.45092,1.57883,0.000709809,0.000709809,0.000709809
31,653.421,0.94443,1.15273,1.23626,0.68492,0.6,0.65691,0.426,1.30161,1.43626,1.59384,0.000676802,0.000676802,0.000676802
32,662.161,0.94987,1.10941,1.22838,0.72477,0.67504,0.71251,0.46285,1.26612,1.29585,1.5525,0.000643795,0.000643795,0.000643795
33,670.897,0.94859,1.12323,1.23335,0.83007,0.63646,0.75154,0.4873,1.20248,1.24972,1.51624,0.000610789,0.000610789,0.000610789
34,679.827,0.93281,1.0773,1.23159,0.68638,0.68866,0.72281,0.4665,1.26944,1.40822,1.59735,0.000577782,0.000577782,0.000577782
35,688.48,0.95338,1.06876,1.24125,0.61218,0.69828,0.6985,0.45119,1.35208,1.50108,1.67561,0.000544776,0.000544776,0.000544776
36,697.107,0.91716,1.03348,1.20639,0.7602,0.60104,0.72429,0.48375,1.27813,1.2573,1.60961,0.000511769,0.000511769,0.000511769
37,705.776,0.84515,1.00486,1.1481,0.80692,0.68125,0.75971,0.49023,1.34861,1.17163,1.64768,0.000478762,0.000478762,0.000478762
38,714.471,0.87389,0.99357,1.19499,0.80184,0.66201,0.74127,0.44238,1.48734,1.20761,1.74954,0.000445756,0.000445756,0.000445756
39,723.219,0.86506,0.97461,1.16778,0.68361,0.74271,0.72816,0.47874,1.2455,1.18027,1.62334,0.000412749,0.000412749,0.000412749
40,731.889,0.84398,0.92016,1.16802,0.72944,0.68054,0.7209,0.46158,1.33913,1.15754,1.68125,0.000379743,0.000379743,0.000379743
41,772.183,0.82432,1.00347,1.19129,0.76575,0.69375,0.71319,0.4535,1.34447,1.20043,1.67524,0.000346736,0.000346736,0.000346736
42,785.13,0.749,0.88953,1.13658,0.74766,0.71751,0.70827,0.44569,1.36156,1.29409,1.68854,0.000313729,0.000313729,0.000313729
43,798.089,0.75179,0.89318,1.12728,0.77977,0.70099,0.75988,0.4756,1.36482,1.23402,1.71095,0.000280723,0.000280723,0.000280723
44,811.023,0.71661,0.86015,1.1256,0.84709,0.66015,0.73207,0.48325,1.29048,1.16872,1.61127,0.000247716,0.000247716,0.000247716
45,834.408,0.72782,0.80652,1.13395,0.69836,0.72893,0.7313,0.48819,1.28456,1.17184,1.59085,0.00021471,0.00021471,0.00021471
46,862.996,0.69647,0.77587,1.10496,0.7164,0.73513,0.75263,0.48939,1.21427,1.21138,1.55426,0.000181703,0.000181703,0.000181703
47,891.56,0.65331,0.76463,1.06742,0.71722,0.72604,0.74208,0.47471,1.19756,1.23018,1.55985,0.000148696,0.000148696,0.000148696
48,920.211,0.66371,0.76296,1.07789,0.69863,0.70937,0.73981,0.47453,1.19835,1.25374,1.55795,0.00011569,0.00011569,0.00011569
49,948.791,0.63667,0.72748,1.07593,0.70824,0.70491,0.73173,0.47889,1.2099,1.26122,1.53977,8.26832e-05,8.26832e-05,8.26832e-05
50,977.382,0.62344,0.70651,1.07648,0.71696,0.69901,0.72971,0.47238,1.21805,1.26096,1.5297,4.96766e-05,4.96766e-05,4.96766e-05
